deskripsi,komentar,menatap,memegang
Insiden itu terjadi di dalam bus ketika dua orang sedang mengklik gambar. Itu terjadi pada sore hari.,0,0,0
beberapa orang mengikuti dan memberikan komentar.,1,0,0
Itu terjadi pada malam hari,1,0,0
menatap,0,1,0
saya diikuti dan dikomentari oleh seorang pria ketika saya sedang berjalan di jalan,1,0,0
belum ada yang terjadi tetapi bibi saya diejek oleh sekelompok anak laki-laki saat kuliah,1,0,0
Bersiul dan lewat komentar valgur,1,0,0
menunjukkan gambar vulgal melalui fb mgs kepada salah satu kerabat saya,0,0,0
"Pelecehan seksual verbal, ajakan seksual, sentuhan, dll.",0,0,1
Menyentuh secara tidak pantas di metro pada sore hari.,0,0,1
rantai direnggut oleh seorang pria yang hampir berusia 35 tahun,0,0,0
"selama saya kuliah salah satu guru bahasa inggris saya biasa menyentuh tangan saya, punggung dan menatap dengan sangat buruk. saya tidak tahu dari mana dia mendapatkan nomor saya dia menatap menelepon saya setiap hari. karena ini saya harus mematikan telepon saya selama beberapa bulan",0,0,1
anak laki-laki menyambar rantai seorang wanita,0,0,0
kami datang dari sekolah dan kami bertemu dengan beberapa anak laki-laki dalam perjalanan dan mereka menelepon teman saya untuk menceritakan hal-hal yang tidak relevan padanya,0,0,0
Seorang pria menunjukkan kepada saya tempat pribadinya saat dia berada di atas skuter dan kemudian bertindak seolah-olah tidak ada yang terjadi.,0,0,0
Seorang pria menyentuh bagian tubuh saat kami bermain holi.,1,0,1
Para pria menelepon dan berkomentar saat saya sedang dalam perjalanan ke sekolah atau dalam perjalanan pulang.,1,0,0
Seorang kondektur mengatakan komentar yang sangat buruk kepada saya di dalam bus.,1,0,0
"begitu saya kembali ke rumah, ada seorang pria yang menatap saya dan terus berkomentar. (busdhaula kuan)",1,0,0
Saya sedang berbelanja Buddh Bazaar ketika seorang pria bersiul dan berjalan di sisi saya memberikan ekspresi yang salah,0,1,0
Perilaku Tidak Senonoh,0,0,0
"Di angkutan umum, menyentuh dan meraba-raba terjadi sepanjang waktu. Kepribadian bodoh hadir di mana-mana di Delhi.",0,0,1
Sekelompok pria bersepeda memberikan komentar tentang gadis-gadis. Itu terjadi di malam hari.,1,0,0
"Seorang teman saya diperkosa. Dia direncanakan oleh sekelompok anak laki-laki yang dia kencani sekaligus. Dia berkencan dengan pacarnya.Dalam perjalanannya, dia tidak pernah tahu bahwa dia telah direncanakan oleh anak laki-laki lain yang datang dan membawanya ke lapangan dan memperkosanya sampai dia pingsan",0,0,0
"kejadian ini terjadi di jalan 40 foota, vikas nagar, fase 3. 2 laki-laki menganiaya teman saya di jalan dekat rumahnya.",0,0,1
Saya berada di keran ketika seorang anak laki-laki datang untuk menuangkan air. Dia menemukan seorang gadis berusia 14 tahun menunggu untuk mengambil air dan hanya meraih tangannya dan menyeretnya pergi.,0,0,1
Tempat parkir mobil sangat menakutkan ... ruang publik setelah gelap atau saat senja sendirian tidak menyenangkan dan saya akan menghindarinya.,0,0,0
"Seorang guru biasa menyerang saya, ketika saya memberi tahu ibu saya tentang hal itu, dia meminta saya untuk tidak pergi ke sekolah",0,0,0
Ada komentar dan peluit murahan saat saya naik metro di pagi hari.,1,1,0
Guru SPP dulu sering menyentuh dada dan biasa berbicara tentang seks dan menayangkan video porno,1,0,1
"Ogling, ekspresi wajah, berkomentar",1,1,0
"berkomentar, secara teratur di dekat gym Klub",1,1,0
beberapa orang memelototi saya dan teman-teman saya dalam perjalanan,1,0,0
"Ketika saya sedang berjalan ke tempat bibi saya, saya melihat sekelompok anak laki-laki mereka memanggil saya untuk datang dan saya menolak.Salah satu dari mereka berjalan ke arah saya dan tersentuh oleh payudara, ketika saya ingin bereaksi mereka mulai menghina saya.",0,0,1
"Mereka berada di metro yang sama dan melontarkan komentar murahan, mengikuti dan mencoba memotret. Itu terjadi di stasiun metro rajiv chowk pada sore hari.",1,0,0
ketika saya pergi ke rumah saya saat itu sekelompok anak laki-laki sedang mengolok-olok dan mengambil gambar seorang gadis. anak laki-laki mereka perempuan dan waktu itu perempuan pergi ke rumahnya.,0,1,0
Saya secara fisik tersentuh di bagian pribadi saya di malam hari di jalan raya yang ramai.,1,0,1
seorang pria merasakan tangan teman saya dengan alat kelaminnya,0,0,1
di kendaraan umum seorang anak laki-laki menyentuh tubuh saya.,0,0,1
memanggil kami dengan beberapa nama lokal seperti chinky,1,0,0
"Kemarin malam istri saya pulang pergi dari Vastrapur ke Nandan Baugh dan dalam perjalanan seorang pria dengan sepeda motor melakukan catcall dan berkomentar pada jam 9 malam, karena strech dari BOPAL444 KE Applewood sangat terisolasi Minta pihak berwenang untuk mencoba patroli di jalan itu sebagai banyak wanita pergi bekerja dan pulang terlambat sampai jam 9.30",1,0,0
Seorang anak laki-laki selalu mengganggu saya ketika saya pulang dari perguruan tinggi.,1,1,0
Saya sedang pergi ke rumah saya ketika seorang paman yang lewat memukul saya dari depan dan bergerak maju.,0,0,1
Saya seorang perempuan dan akan pergi ke sekolah. Saat itu hari minggu dan beberapa anak laki-laki berkomentar saat lewat. Itu sangat menyedihkan bagi saya dan saya pergi ke rumah setelahnya daripada pergi ke sekolah,1,0,0
Saya kawin dengan dua pria dalam perjalanan pulang dari sekolah dan mereka mengatakan kepada saya bahwa mereka ingin berhubungan seks dengan saya.,1,0,0
Mempertaruhkan dan pesan tidak senonoh ke teman yang berasal dari timur laut,1,0,0
"Dari halte di mana saya akan naik bus saya, tiga mobil akan lewat satu demi satu dan kadang-kadang bahkan mengikuti saya ke sekolah.",0,0,0
"LOL, ITU TERJADI SETIAP HARI DI SINI! SEKARANG KAMI SEBENARNYA DIGUNAKAN UNTUK ITU",1,1,1
Lebih seperti eveteasing. Tidak ada apa-apa tetapi dua orang mencoba mengikuti saya dalam perjalanan pulang dan berperilaku tidak senonoh.,1,1,0
"Saya terjepit di a saya ketika saya kembali dari perguruan tinggi, di bus 29C, dan hanya karena saya memiliki dua perhentian, karena saya diberitahu demikian, tidak persis dengan kata-kata itu, dalam bahasa Inggris. Saya bisa saja menamparnya, tetapi kedua tangan saya penuh dan tas saya ada di punggung. Selain itu, 29C juga cukup ramai di malam hari, jadi saya tidak punya cukup ruang untuk melakukan apa pun. Saya berharap ini dihentikan.",0,0,0
"SEWAKTU DATANG DARI KELAS, SAYA MELIHAT KELOMPOK LAKI-LAKI sedang menggoda seorang gadis.",1,0,0
"sekelompok anak perempuan dari kami sedang bepergian dengan kendaraan umum, sang kondektur menggoda kami.",1,0,0
Saya sedang berjalan di jalan dan sebuah sepeda datang di belakang saya dan mereka menarik tangan saya saat mereka mengemudi. Itu jalan penuh,0,0,1
Menyentuh di bus DTC di Gagan vihar pada sore hari tanggal 24 Agustus 2012,0,0,1
Suatu ketika saya berada di stasiun jalan hibah di mana saya sengaja diraba-raba siku oleh seorang pria yang terus melirik sampai saya naik kereta lokal.,0,1,1
berkomentar dan anak laki-laki mengambil foto kita,1,0,0
orang ini whistlig dan berkomentar,1,0,0
"Berkomentar, melirik dan catcall di pasar lokal di daerah dengan toko anggur dan bir kutipan khusus di area belakang kompleks istana Netaji Subhash, bylanes dll.",1,1,0
"pelecehan jalanan sebulan yang lalu ketika saya kembali ke buea di terminal bus, seorang pria tiba-tiba mengambil kotak perjalanan saya dari saya dan ketika saya memintanya untuk mengembalikan kotak saya, dia mulai menghina saya tetapi bagi saya saya tidak berhenti ketika saya memberinya apa yang dia inginkan, hina dia juga.",0,1,0
di malam hari saya menyaksikannya lebih dari2 3 kali,1,0,0
"teman kuliah saya mengomentari gaun pendek saya di kantin, mengatakan itu menghasutnya untuk melakukan hal-hal buruk kepada saya",1,0,0
Tiga pria mengomentari gaya berpakaian seorang gadis.,1,0,0
Dilecehkan di sore hari,1,0,0
"dua gadis dilirik, di Persimpangan Chandivali",0,1,0
gangguan,0,0,0
orang-orang bersiul,1,1,0
Anak-anak pinggir jalan berseru-seru dan berkomentar,1,1,0
Saya melihat beberapa wanita diikuti oleh pria di malam hari,0,0,0
Passerby lulus komentar leud. Waktu malam.,1,0,0
"Setiap hari jembatan ini terlalu ramai, tidak bisa berjalan dengan baik pada waktu kantor di pagi hari dan setiap hari ada beberapa pria atau yang lainnya memanfaatkan dengan menyentuh wanita. tidak ada satupun personel polisi di sana untuk melihat apa yang terjadi? Hal ini terus menerus terjadi disana, terkadang ada lampu tidak menyala di jembatan terlalu sulit untuk berjalan dalam kegelapan di jembatan ini.",0,0,1
"Pelecehan oleh anak laki-laki yang berkomentar, berfoto, dan bersiul",1,0,0
"Tempatnya adalah sektor 16 di Vashi, Navi Mumbai. Saat itu pukul 10.30 malam, ketika saya turun di halte bus sektor 16 dari bus BEST 525 dan mulai berjalan menuju rumah. Jalan setapaknya teduh tanpa lampu jalan, jadi saya memutuskan untuk berjalan di sepanjang jalan. Saat saya berjalan, seseorang berteriak keras dari jalan setapak ... quotae idhar idhar dekhquot. Saya tanpa sadar berbalik ke arah itu untuk melihat seorang pria (seorang buruh) melakukan masturbasi sendiri dan tersenyum kepada saya saat dia melakukannya! Saya kaget tapi saya tidak menunggu. Aku hanya memunggungi dia dan pergi dengan cepat ke tempat di mana ada lampu dan di mana ada kerumunan. Dia terus mengikutiku untuk beberapa saat tetapi setelah dia tahu bahwa aku sedang menuju ke arah di mana ada banyak orang, dia berbalik dan pergi. Aku terguncang ketika sampai di rumah. Yang saya rasakan hanyalah ketakutan. Tapi sekarang aku merenungkannya, rasanya aku seharusnya meninju dia untuk selamanya. Namun, melarikan diri adalah yang terpikir olehku pada saat itu!",1,0,0
Saya bersama teman-teman saya dan tiba-tiba beberapa orang mulai bersiul dan kami pergi dengan tergesa-gesa. Itu terjadi di malam hari.,0,0,0
seorang gadis dipanggil oleh beberapa anak laki-laki dan mengedipkan mata padanya,0,0,0
Dia sedang dalam perjalanan ke kota ketika dia menyadari bahwa tetangganya telah mengikutinya dari kibera ke tempat kerjanya.,0,0,0
Menguntit dan berkomentar oleh sekelompok pria,1,0,0
saya sedang berjalan menuju rumah saya sementara orang ini mulai berkomentar,1,0,0
Saya ditatap oleh seorang pria ketika saya sedang menunggu taksi Ola di luar Gerbang 4 stasiun Metro. Tatapannya berlama-lama dan membuatku benar-benar tidak nyaman.,0,1,0
"Ada 78 orang yang mengikuti, bersiul dan menanyakan nomor saya.",1,0,0
"saat bepergian dengan bus, ada seseorang yang berdiri di belakangku dan sepenuhnya menemaniku. Dia menyentuh bagian tubuh saya dan ketika saya menunjukkannya kepadanya, dia mengatakan busnya penuh dan itulah mengapa itu terjadi, tetapi saya dapat merasakannya bahwa itu bukan karena terburu-buru.",0,0,1
Mengomentari Rangpuri di malam hari,1,0,0
Seorang wanita diganggu di Mutengene oleh pencuri (pedagang) dan uang diambil darinya,0,1,0
"Saya berada di gereja saya ketika amn mulai memanggil saya sayang, sayang. Saya sangat ketakutan karena dia mendekati saya",1,0,0
Saya berada di ruang publik ketika saya melihat seorang pria melakukan tindakan ofensif.,0,0,0
Suatu hari saya berjalan dengan teman saya dan kemudian salah satu anak laki-laki dari jalan berteriak padanya mengatakan bahwa dia adalah ukuran tubuhnya.,1,0,0
"Om Sai Beach Huts tidak aman untuk pelancong tunggal wanita. Ketika pemiliknya, Gaurav Bhagat, sedang mabuk, dia mengatakan kepada saya bahwa dia dan stafnya sedang mengawasi saya untuk melihat apakah saya sedang tidur dengan teman saya. (yang ada di sana dan tinggal di kamar terpisah) Dan bahwa dia memanggil mereka untuk memeriksa apa yang kami lakukan, dan bahwa SELURUH STAF memberinya informasi tentang aktivitas dan keberadaan saya. Yang paling menggangguku adalah BUKANLAH dia memukulku pada akhirnya tetapi dia dan stafmu memperhatikanku dan mereka melaporkan kepadamu apa yang aku lakukan. Itu tidak membuat saya merasa aman, pada kenyataannya, karena ini saya memiliki banyak keraguan tentang keamanan tempat itu secara keseluruhan. Pondok dan kamar mandi memiliki lubang di dinding sehingga orang bisa melihat ke dalam. Saya mengabaikan mereka, tetapi sekarang saya ragu ada seseorang yang memperhatikan saya saat saya tidur dan berganti pakaian dan hal-hal lain yang membutuhkan privasi. Saya tidak bisa merekomendasikan tempat ini kepada siapa pun yang tahu apa yang dia katakan kepada saya.",1,1,0
"tiga anak laki-laki biasanya duduk di tempat yang disebut quotbiasharaquot dan menunggu saya lewat sehingga mereka dapat mengomentari pakaian saya, suatu hari mereka bersiul kepada saya dan saya mengabaikannya. mereka menghina saya",1,0,0
"Pencahayaan buruk saat berjalan ke Channing untuk mengaktifkan Warring, catcall juga.",0,0,0
TIDAK ADA lampu jalan,0,0,0
"Kejadian ini terjadi pada bulan September 2012 pada pagi hari sekitar jam 1011 pagi, seorang gadis yang sedang mengendarai sebuah roda dua. Dua anak laki-laki memukul dengan pelan Activa nya dan kemudian menyentuh punggungnya dan mengayunkan pakaiannya.",0,1,1
"Saya bepergian dengan bus di jalan raya delhi merut (NH 58). Saya duduk di suatu tempat di tengah barisan bus. Posisinya adalah kolom kedua di sisi 2 tempat duduk. Seorang gadis berusia sekitar 16 tahun duduk di samping celah untuk berjalan. Sesuatu yang mirip dengan posisi kami. Seorang pria berusia 2425 berjalan melewati lorong dan berdiri di antara kami mengisi celah lorong, Dia menghadap ke arah gadis yang memiliki bagian punggung ke arahku. Bagian bawahnya dan tingkat wajah gadis itu kira-kira setinggi karena hi sedang berdiri dan gadis itu sedang duduk. Dia mendorong dirinya ke arah gadis itu menggunakan gerakan bus berkali-kali. Gadis itu duduk dengan wajah menghadap ke bawah dan mata tertutup. Dia ketakutan, saya meninggalkan tempat duduk saya agar saya dapat memberikan tempat kepada orang yang sedang berdiri dan secara tidak langsung dapat membantu gadis itu sehingga saya berjalan agak jauh dan berdiri di sana. tetapi meski kursi itu kosong, pria itu tidak mengambil kursi itu. Itu sangat memalukan. Saya berharap saya bisa melakukan lebih banyak bantuan untuk gadis itu.",0,0,1
Saya tersentuh / diraba-raba,0,0,1
"Ketika saya sedang dalam perjalanan dengan bus, beberapa remaja laki-laki bersiul ke arah saya dan berkomentar tidak masuk akal.",1,0,0
"Suatu hari ketika saya sedang dalam perjalanan dengan bus, seorang gadis sedang duduk di dekat saya dan di belakang 23 anak laki-lakinya berdiri dan memberikan komentar murahan. Gadis itu dengan sengaja mengabaikan mereka hanya karena dia harus bepergian setiap hari.",1,0,0
di malam hari saya bersama teman saya dan sekelompok pria di sana mengomentari gadis-gadis yang hadir dalam lingkaran.,1,1,0
"Saya berada di metro selama jam-jam malam, dan seseorang mencoba untuk menyentuh saya lagi dan lagi.",0,0,1
PELANGGARAN DAN MEMINTA MATI,0,0,0
Ibunya sakit dan tidak punya uang untuk membeli obat. Dia memutuskan untuk mulai mencuci pakaian untuk mendapatkan uang. Seorang pria memintanya untuk mencuci pakaian untuknya sementara pria itu datang dan menyentuh pantatnya.,0,0,1
"sekitar jam 345 sore, saya berada di bus no. 448 dan seorang pria tiba-tiba meraih ponsel saya dan melarikan diri.",0,0,0
seorang pria menyentuh seorang gadis di bus,0,0,1
"kami adalah 3 orang termasuk saudara perempuan saya. untuk mencapai tujuan, kami memutuskan untuk naik metro jalur kuning dari jalur sipil. beberapa anak laki-laki sedang duduk di sana dan setelah melihat saudara perempuan saya mulai berteriak dan menyanyikan lagu-lagu murahan",0,1,0
Tidak ada cahaya,0,0,0
Ini telah dilaporkan oleh ibu teman saya. Dia menyaksikan pengendara sepeda gaduh mencoba merebut perhiasan wanita saat dia melakukan jalan-jalan rutinnya. Wanita itu membunyikan alarm dan beberapa pria datang untuk menyelamatkannya. Mereka mencoba mengejar para pengendara sepeda motor tetapi mereka segera menghilang. Wanita itu mengalami trauma karena dia telah tinggal di sana selama lebih dari satu dekade dan tidak ada yang mengharapkan ini. Dia akan melaporkan masalah ini ke polisi.,0,0,0
Insiden ini terjadi tiga bulan yang lalu pada malam hari di rooster pub. Seorang pria berusia akhir 40-an dengan pakaian India duduk di sudut dan memandangi gadis-gadis yang ada di sana. Dia memberikan tatapan dan komentar cabul kepada anak di bawah umur.,0,1,1
Ada komentar terus menerus dan bersiul di luar stadion universitas di kampus utara. Itu terjadi pada sore hari sekitar jam 2 siang.,1,0,0
berperilaku buruk,1,0,0
"Saya berada di dalam bus, ada sekelompok anak laki-laki dan mereka mulai berkomentar kepada saya bahwa Anda terlihat cantik. Saya mengabaikannya tetapi mereka mulai menggoda saya dengan menanyakan nomor saya.",1,0,0
Saya naik matatu dari makina ke olimpiade dengan seorang wanita yoiung mengenakan rok mini. Para calo bersama dengan laki-laki lain yang tergantung di pintu mulai berbicara tentang dia yang menggambarkan seberapa baik dia dibuat,1,0,0
Catcalls dan eksposur tidak senonoh,0,0,0
"Pada malam hari sekitar jam 8 malam, seorang pria mengajak saya pergi ke tempatnya.",0,0,0
